bioguide_id,lis_id
C000127,S275
K000367,S311
S000033,S313
W000802,S316
B001261,S317
W000437,S318
C001035,S252
C001056,S287
D000563,S253
G000359,S293
M000355,S174
M001176,S322
R000122,S259
R000584,S323
S001181,S324
W000805,S327
G000555,S331
C001088,S337
A000055,
B001230,S354
B001267,S330
B001257,
B000490,
B001243,S396
B001277,S341
B001236,S343
B001260,
C000059,
C001047,S372
C001072,
C001051,
C001075,S373
C001066,
C001080,
C001067,
C001061,
C000537,
C001068,
C001053,
C001059,
C001069,
C000880,S266
C001087,
C001063,
D000096,
D000197,
D000216,
D000616,
D000600,
D000399,
F000459,
F000450,
G000559,
G000565,
G000386,S153
G000546,
G000553,
G000568,
G000558,
H001052,
H001046,S359
H001047,
H001042,S361
H001061,S344
H000874,
H001058,
J000288,
J000293,S345
J000289,
K000009,
K000375,
K000376,
L000575,S378
L000560,
L000557,
L000566,
L000577,S346
L000397,
L000491,
L000570,S409
L000562,
M000133,S369
M001163,
M001157,
M001177,
M001143,
M000312,
M001137,
M001160,
M000934,S347
M001153,S288
M001169,S364
M001111,S229
N000002,
N000015,
N000147,
P000034,
P000603,S348
P000197,
P000595,S380
P000597,
Q000023,
R000395,
R000575,
S001176,
S001145,
S001150,S427
S000148,S270
S001183,
S001189,
S001157,
S000185,
S001184,S365
S001185,
S000344,
S001148,
S000510,
S001172,
S000522,
S001156,
T000193,
T000460,
T000467,
T000250,S303
T000469,
T000463,
V000128,S390
V000081,
W000798,
W000797,
W000187,
W000806,
W000800,S422
W000795,
W000808,
W000804,
W000809,
W000779,S247
Y000064,S391
A000369,
B001278,
D000617,
M001184,
S001194,S353
F000454,
T000468,
C001095,S374
H001068,
B001287,
S001193,
B001285,
R000599,
T000472,
V000130,
P000608,
F000462,
D000622,S386
B001282,
W000817,S366
K000383,S363
W000812,
D000618,S375
H001067,
C001096,S398
F000463,S357
M001188,
J000294,
B001281,
J000295,
M001190,S419
P000605,
C001098,S355
W000814,
C001091,
W000816,
V000131,
K000384,S362
P000607,
K000385,
S001195,
B001288,S370
C001101,
N000188,
A000370,
P000609,
H001072,
W000821,
G000574,S432
D000623,
A000371,
L000582,
T000474,
C001103,
L000583,
A000372,
B001295,
M001196,
M001194,
D000624,
E000294,
R000603,
W000822,
S001196,
B001296,
B001291,
B001292,
P000610,
N000189,
G000576,
R000600,
S001198,S383
E000295,S376
T000476,S384
R000605,S381
K000388,
L000585,
D000626,
C001108,
E000296,
K000393,S389
H001076,S388
C001113,S385
S001190,
B001302,
K000389,
P000613,
C001112,
B001300,
C001110,
B001303,S430
D000628,
R000609,
S001200,
M001199,
K000391,
B001299,S429
M001198,S411
H001077,
J000299,
R000606,
B001301,
B001305,S417
B001298,
G000583,
R000608,S402
E000297,
F000466,
S001199,
K000392,
G000581,
A000375,
J000298,
E000298,
N000190,
G000585,
C001114,S431
S001203,S394
H001079,S395
C001115,
B001306,
H001082,
M001206,
S001205,
C001055,
H001066,
S001211,
H001090,
L000593,
N000191,
C001121,
H001081,
S001214,
M001208,
F000469,
G000586,
C001117,
U000040,
B001307,
D000629,
T000482,
P000617,
S001208,S436
S001215,
T000481,
C001119,
O000173,
S001212,
G000591,
P000614,
V000133,
K000394,S426
L000590,
O000172,
D000631,
H001085,
M001204,
J000302,
R000610,
T000480,
J000301,
B001309,
R000612,
C001120,
G000589,
F000468,
E000299,
R000614,
G000587,
C001118,
S001216,
S001213,
M001205,
S001217,S404
H001089,S399
G000592,
M001210,
M000687,
T000165,
K000377,S406
L000571,S410
I000056,
S000250,
V000129,
T000278,S412
H000273,S408
H000601,S407
M001212,
O000019,
K000397,
J000305,
B000825,
C001039,
F000472,
D000032,
G000593,
S000168,
W000788,
C001116,
H001091,
M001215,
F000446,
M001211,
M001214,
S000929,
M000871,
A000148,
M001136,
F000470,
R000305,
L000273,
G000597,
M000317,
T000486,
B000740,
B000668,
M000194,
H001086,
F000246,
P000048,
J000304,
N000026,
G000594,
V000134,
M001213,
O000086,
S001159,
F000471,
P000145,S413
O000174,S414
W000790,S415
T000478,
L000595,
C001125,
S001218,
E000071,
B001313,
C001126,
C001127,
F000474,
F000475,
R000579,
Y000067,
Z000018,
B001319,S416
S001227,S420
F000479,S418
S001220,
C001132,
C001133,
K000401,
M001225,
K000400,
G000598,
P000620,
B001314,
M001216,
F000476,
L000596,
L000597,
M001217,
M001218,
C001129,
M001219,
T000487,
N000193,
J000309,
R000617,
B001315,
S001225,
H001093,
M001220,
I000058,
S001221,
J000307,
T000488,
A000379,
B001316,
E000235,
D000230,
F000477,
E000246,
K000398,
M001226,
V000136,
L000598,
G000599,
L000599,
L000600,
L000601,
M001222,
S001223,
B001317,
H001094,
S001226,
L000602,
D000530,
M001223,
F000478,
O000175,
M001224,
S001224,
L000603,
D000594,
C001130,
C001131,
H001095,
K000399,
B001318,
G000600,
V000135,
H001096,
R000618,S423
M001227,
A000380,
M001228,
S001201,
K000402,
F000480,
R000619,
M001229,
W000829,
F000110,
S001188,
C001123,
A000382,S428
S001232,S435
M001242,S434
M001243,S433
B001323,
F000481,
A000381,
H001098,
S001231,
G000605,
L000607,
W000830,
R000620,
F000483,
T000491,
M001241,
H001100,
C001137,
E000300,
M001238,
H001099,
J000311,
S001229,
M001233,
S001228,
O000176,
E000301,
M001232,
B001321,
M001237,
M001234,
B001324,
O000177,
K000404,
D000634,
M001240,
H001102,
H001101,
K000405,
M001236,
F000482,
G000604,
C001136,
P000621,
G000602,
L000606,
R000622,
M001231,
T000490,
D000635,
B001326,
M001230,
B001327,
H001103,
B001325,
G000601,
G000603,
J000310,
K000403,
M001239,
V000138,
S001230,
B001322,
R000621,
M001235,
J000312,S437
H001104,S438
M001244,S439
P000622,
F000484,
W000831,
G000606,
V000139,
M001245,
A000219,S134
B000647,S135
H000951,S138
M000346,S063
S000055,S178
A000031,S180
C000877,S023
D000366,S149
F000329,S183
G000072,S034
K000019,S155
R000497,S160
S001138,S162
W000647,S181
B000401,S009
B001077,S015
D000030,S108
D000185,S102
D000566,S133
H000456,S115
M000250,S104
M000678,S114
M000811,S144
R000249,S107
S000068,S117
W000092,S119
W000607,S165
B000639,S128
B001225,S132
B000919,S214
C000598,S137
E000284,S129
G000321,S170
H000343,S044
H000445,S130
J000189,S054
K000017,S140
N000171,S074
P000193,S078
P000513,S141
P000556,S125
S000269,S218
S000423,S175
S000429,S142
W000665,S219
B001076,S220
B001057,S014
D000018,S147
D000401,S026
F000437,S227
F000268,S033
G000236,S035
K000088,S232
K000333,S234
M000236,S233
M001025,S226
P000009,S075
A000355,S238
A000356,S239
B000993,S206
C000269,S116
G000333,S152
G000367,S242
K000146,S208
M000019,S205
M001054,S113
R000295,S207
R000460,S083
F000438,S248
C001034,S251
G000365,S171
H000463,S046
H001015,S256
S000606,S216
T000457,S237
T000254,S096
T000317,S263
W000288,S217
B000780,S179
C000077,S225
C000813,S228
D000064,S185
E000286,S267
F000442,S268
G000352,S199
H000725,S047
M001085,S157
N000102,S158
M001141,S273
A000121,S274
B001126,S211
C001043,S276
C001040,S272
C001042,S279
D000596,S280
D000294,S240
F000439,S241
J000072,S204
S000059,S244
S000064,S106
B001237,S285
T000024,S286
A000109,S250
C001057,S291
C000858,S215
D000601,S292
D000407,S027
H001028,S255
S001142,S262
S000888,S090
S001078,S296
W000154,S143
B001233,S264
B000382,S231
B000611,S200
B000953,S249
B001066,S265
D000388,S150
D000432,S222
F000061,S230
G000445,S224
L000035,S269
M001162,S304
S001163,S297
S000709,S161
V000126,S271
B001210,S017
C001041,S278
E000194,S281
K000105,S055
L000447,S203
T000162,S246
B000444,S010
B001266,S328
K000373,S329
L000572,S333
K000374,S334
G000561,S336
O000167,S298
I000025,S051
A000069,S213
B000468,S167
C000705,S201
H001016,S235
K000305,S209
L000304,S210
L000504,S105
N000180,S283
S000663,S245
W000803,S315
B001268,S335
D000595,S302
K000148,S173
L000123,S166
C001099,S367
C001100,S368
B000243,S127
B001265,S319
C000286,S290
H001049,S320
H000206,S172
J000177,S257
L000550,S258
L000261,S131
P000590,S295
R000361,S176
U000038,S325
C000560,S301
W000818,S371
J000291,S321
A000368,S340
B000711,S223
C000542,S212
K000360,S339
M000702,S182
R000146,S198
V000127,S299
S001141,S261
F000457,S332
S001202,S392
C000567,S136
M000303,S197
K000352,S243
C001071,S310
H000338,S118
M001170,S312
N000032,S282
D000607,S356
F000444,S358
H001041,S352
H001069,S360
I000055,S305
M001197,S400
A000360,S289
E000285,S254
R000307,S260
U000039,S326
G000562,S377
P000612,S379
J000300,S393
H001075,S387
L000594,S405
B000575,S342
B001135,S300
L000174,S057
P000449,S349
S000320,S184
T000461,S351
I000024,S236
S001197,S382
F000062,S221
M000639,S306
B001320,S424
H001097,S425
B000944,S307
C000141,S308
C000174,S277
C001070,S309
S000770,S284
T000464,S314
M001183,S338
S001191,S403
B001310,S397
R000615,S401
V000137,S421
R000595,S350
